card_id,year_month,month_end,active_account,activation_date,credit_limit,initial_balance,average_daily_balance,closing_balance,payments,MOB
20,2020_01,31/01/20,TRUE,15/01/20,30000,0,0,0,,1
20,2020_02,28/02/20,TRUE,15/01/20,30000,12136.6,18952.67579,25356.75,0,2
20,2020_03,31/03/20,TRUE,15/01/20,30000,25748.75,19156.50619,4702.68,25356.75,3
20,2020_04,30/04/20,TRUE,15/01/20,30000,4702.68,2586.474,0,4841.68,4
20,2020_05,29/05/20,TRUE,15/01/20,30000,129,81.47368421,0,129,5
20,2020_06,30/06/20,TRUE,15/01/20,30000,0,0,0,,6
20,2020_07,31/07/20,TRUE,15/01/20,30000,0,0,0,,7
20,2020_08,31/08/20,TRUE,15/01/20,30000,0,0,0,,8
20,2020_09,30/09/20,TRUE,15/01/20,30000,0,0,0,,9
21,2020_01,31/01/20,TRUE,15/01/20,30000,0,0,0,,1
21,2020_02,28/02/20,TRUE,15/01/20,30000,1873,1230.473684,0,3261,2
21,2020_03,31/03/20,TRUE,15/01/20,30000,1469.9,1985.322857,2758.98,0,3
21,2020_04,30/04/20,TRUE,15/01/20,30000,2758.98,1863.525,769.08,1989.9,4
21,2020_05,29/05/20,TRUE,15/01/20,30000,769.08,902.6189474,901.24,69.92,5
21,2020_06,30/06/20,TRUE,15/01/20,30000,901.24,2257.095455,3031.87,0,6
21,2020_07,31/07/20,TRUE,15/01/20,30000,3031.87,9795.077826,13797.44,1686.49,7
21,2020_08,31/08/20,TRUE,15/01/20,30000,13797.44,17544.39238,13337.24,8158.2,8
21,2020_09,30/09/20,TRUE,15/01/20,30000,13337.24,13479.49048,15529.66,10,9
22,2020_01,31/01/20,TRUE,16/01/20,30000,0,1.951666667,23.42,,1
22,2020_02,28/02/20,TRUE,16/01/20,30000,19696.74,16522.42421,19120.86,14000,2
22,2020_03,31/03/20,TRUE,16/01/20,30000,23250.91,19737.5381,4222.89,21123.45,3
22,2020_04,30/04/20,TRUE,16/01/20,30000,4535.89,6809.198,8974.35,0,4
22,2020_05,29/05/20,TRUE,16/01/20,30000,0,9531.31,7815.36,44429.35,5
22,2020_06,30/06/20,TRUE,16/01/20,30000,319.45,8162.084091,13072.73,40000,6
22,2020_07,31/07/20,TRUE,16/01/20,30000,13072.73,13930.97174,24669.24,0,7
22,2020_08,31/08/20,TRUE,16/01/20,30000,24709.24,24169.36143,1683.55,37683.29,8
22,2020_09,30/09/20,TRUE,16/01/20,30000,1683.55,5944.599048,0,30184.21,9
23,2020_01,31/01/20,TRUE,17/01/20,30000,0,0,0,,1
23,2020_02,28/02/20,TRUE,17/01/20,100000,0,99.37473684,944.06,0,2
23,2020_03,31/03/20,TRUE,17/01/20,100000,3645.06,16466.06667,5780.2,25000,3
23,2020_04,30/04/20,TRUE,17/01/20,100000,5780.2,4964.022,456.64,5500,4
23,2020_05,29/05/20,TRUE,17/01/20,100000,456.64,347.8821053,43.36,500,5
23,2020_06,30/06/20,TRUE,17/01/20,100000,43.36,43.36,43.36,0,6
23,2020_07,31/07/20,TRUE,17/01/20,100000,43.36,43.36,43.36,0,7
23,2020_08,31/08/20,TRUE,17/01/20,100000,43.36,43.36,43.36,0,8
23,2020_09,30/09/20,TRUE,17/01/20,100000,43.36,267.1542857,826.64,0,9
24,2020_01,31/01/20,TRUE,20/01/20,30000,0,358.515,573.83,,1
24,2020_02,28/02/20,TRUE,20/01/20,30000,573.83,18023.04,28660.78,0,2
24,2020_03,31/03/20,TRUE,20/01/20,30000,28660.78,28869.32524,29315.07,2000,3
24,2020_04,30/04/20,TRUE,20/01/20,30000,29315.07,28973.76,30396.3,3000,4
24,2020_05,29/05/20,TRUE,20/01/20,30000,30396.3,29685.34684,31308.23,3000,5
24,2020_06,30/06/20,TRUE,20/01/20,30000,31308.23,29783.35409,30880.6,3455,6
24,2020_07,31/07/20,TRUE,20/01/20,30000,30880.6,30770.46348,28247.27,3100.67,7
24,2020_08,31/08/20,TRUE,20/01/20,30000,28247.27,29160.93238,31524.87,2911.9,8
24,2020_09,30/09/20,TRUE,20/01/20,30000,31524.87,31580.28571,30161.51,3276.74,9
25,2020_01,31/01/20,TRUE,21/01/20,30000,0,1417.468889,1822.46,,1
25,2020_02,28/02/20,TRUE,21/01/20,30000,3902.46,8677.284211,28878.52,0,2
25,2020_03,31/03/20,TRUE,21/01/20,30000,28878.52,25244.94095,0,0,3
25,2020_04,30/04/20,TRUE,21/01/20,30000,0,459,1020,30169.82,4
25,2020_05,29/05/20,TRUE,21/01/20,30000,1020,15890.61,18876.26,0,5
25,2020_06,30/06/20,TRUE,21/01/20,30000,18876.26,1719.123636,13.64,18876.26,6
25,2020_07,31/07/20,TRUE,21/01/20,30000,13.64,13.64,13.64,0,7
25,2020_08,31/08/20,TRUE,21/01/20,30000,4214.16,4214.16,4214.16,0,8
25,2020_09,30/09/20,TRUE,21/01/20,30000,4214.16,3417.41619,125.02,4214.16,9
26,2020_01,31/01/20,TRUE,21/01/20,30000,0,0,0,,1
26,2020_02,28/02/20,TRUE,21/01/20,30000,0,0,0,,2
26,2020_03,31/03/20,TRUE,21/01/20,30000,0,0,0,,3
26,2020_04,30/04/20,TRUE,21/01/20,30000,0,0,0,,4
26,2020_05,29/05/20,TRUE,21/01/20,30000,0,0,0,,5
26,2020_06,30/06/20,TRUE,21/01/20,30000,0,0,0,,6
26,2020_07,31/07/20,TRUE,21/01/20,30000,0,0,0,,7
26,2020_08,31/08/20,TRUE,21/01/20,30000,0,0,0,,8
26,2020_09,30/09/20,TRUE,21/01/20,30000,0,0,0,,9
27,2020_01,31/01/20,TRUE,21/01/20,30000,0,0,0,,1
