card_id,year_month,month_end,active_account,activation_date,credit_limit,initial_balance,average_daily_balance,closing_balance,payments,MOB,spending
25,2020_03,2020-03-31,True,2020-01-21,30000.0,28878.52,25244.94095,0.0,0.0,3,-28878.52
27,2020_04,2020-04-30,True,2020-01-21,30000.0,676.0,152.827,4.18,425.09,4,-246.73000000000008
36,2020_09,2020-09-30,True,2020-02-13,93600.0,49269.23,19334.28905,19326.8,0.0,8,-29942.430000000004
55,2020_07,2020-07-31,True,2020-02-27,2000000.0,109.08,123.7930435,88.32,0.0,6,-20.760000000000005
62,2020_04,2020-04-30,True,2020-03-05,70400.0,8900.0,8566.2485,8158.33,741.67,2,-1.1368683772161603e-13
89,2020_06,2020-06-30,True,2020-03-12,50000.0,1905.23,1612.73,1476.23,0.0,4,-429.0
89,2020_07,2020-07-31,True,2020-03-12,50000.0,1476.23,1457.316957,1041.23,0.0,5,-435.0
160,2020_06,2020-06-30,True,2020-03-19,90000.0,100000.0,78230.50045,67947.7,0.0,4,-32052.300000000003
163,2020_04,2020-04-30,True,2020-03-20,220000.0,168896.0,104860.779,32819.58,34420.0,2,-101656.41999999998
163,2020_05,2020-05-29,True,2020-03-20,220000.0,32819.58,32609.18474,28822.07,0.0,3,-3997.510000000002
181,2020_05,2020-05-29,True,2020-03-26,127600.0,121085.34,72688.79737,4042.41,7000.0,3,-110042.93
270,2020_09,2020-09-30,True,2020-04-22,200000.0,106351.18,83171.46571,58346.18,0.0,6,-48004.99999999999
279,2020_08,2020-08-31,True,2020-04-28,200000.0,22042.34,16766.69952,998.65,8412.72,5,-12630.97
362,2020_09,2020-09-30,True,2020-07-20,30000.0,24955.03,21962.71286,21291.25,1343.94,3,-2319.839999999999
